ticker,Date,ShortVolume,ShortExemptVolume,TotalVolume,short_int
CLF,2021-01-19,1936924.0,9220.0,4349702.0,0.4453003906934314
CLF,2021-01-20,2253028.0,22132.0,3633140.0,0.620132447414633
CLF,2021-01-21,1930091.0,12898.0,3537639.0,0.5455873253319516
CLF,2021-01-22,1376618.0,5097.0,2837915.0,0.48508077232757146
CLF,2021-01-25,2372576.0,11233.0,4352582.0,0.5450962210476448
CLF,2021-01-26,1624054.0,28456.0,3167959.0,0.5126499427549409
CLF,2021-01-27,2485627.0,64470.0,5296847.0,0.46926539505483167
CLF,2021-01-28,1883026.0,14499.0,3561664.0,0.5286927683240193
CLF,2021-01-29,2018557.0,12071.0,4554462.0,0.44320426869298724
SITE,2021-01-04,33212.0,119.0,55550.0,0.5978757875787579
SITE,2021-01-05,25689.0,256.0,59179.0,0.43408979536659964
SITE,2021-01-06,46990.0,0.0,63719.0,0.7374566455845195
SITE,2021-01-07,19464.0,198.0,53752.0,0.36210745646673614
SITE,2021-01-08,46386.0,200.0,58525.0,0.7925843656557027
SITE,2021-01-11,64717.0,220.0,86938.0,0.7444040580643677
SITE,2021-01-12,46518.0,0.0,62452.0,0.7448600525203356
SITE,2021-01-13,29971.0,0.0,48274.0,0.6208518042838795
SITE,2021-01-14,39720.0,0.0,58239.0,0.6820172049657446
SITE,2021-01-15,134832.0,0.0,178952.0,0.753453440028611
SITE,2021-01-19,73469.0,0.0,202877.0,0.3621356782681132
SITE,2021-01-20,39601.0,0.0,99933.0,0.39627550458807403
SITE,2021-01-21,37287.0,0.0,78966.0,0.4721905630271256
SITE,2021-01-22,24608.0,0.0,38476.0,0.6395675226114981
SITE,2021-01-25,46830.0,33.0,68771.0,0.6809556353695598
SITE,2021-01-26,61456.0,0.0,108875.0,0.5644638346727899
SITE,2021-01-27,47776.0,0.0,193093.0,0.24742481602129543
SITE,2021-01-28,33311.0,0.0,173258.0,0.19226240635353056
SITE,2021-01-29,40787.0,1608.0,66296.0,0.6152256546397973
BRKS,2021-01-04,207638.0,1576.0,331535.0,0.6262928499253473
BRKS,2021-01-05,270427.0,600.0,341366.0,0.7921907864286426
BRKS,2021-01-06,219631.0,110.0,429432.0,0.5114453510683881
BRKS,2021-01-07,156412.0,819.0,428556.0,0.3649744724143402
BRKS,2021-01-08,105800.0,0.0,234524.0,0.45112653715611195
BRKS,2021-01-11,82037.0,0.0,263076.0,0.3118376438747738
BRKS,2021-01-12,43722.0,0.0,110799.0,0.3946064495166924
BRKS,2021-01-13,36864.0,0.0,112242.0,0.3284332068209761
BRKS,2021-01-14,86490.0,2.0,209581.0,0.41268053878929867
BRKS,2021-01-15,70359.0,0.0,135374.0,0.5197379112680426
BRKS,2021-01-19,58938.0,0.0,108226.0,0.544582632639107
BRKS,2021-01-20,95760.0,298.0,154931.0,0.6180815976144219
BRKS,2021-01-21,47932.0,0.0,102475.0,0.4677433520370822
BRKS,2021-01-22,35986.0,900.0,94760.0,0.3797593921485859
BRKS,2021-01-25,40146.0,100.0,114289.0,0.3512674010622195
BRKS,2021-01-26,61737.0,100.0,181932.0,0.3393410724886221
BRKS,2021-01-27,83030.0,801.0,183879.0,0.451546941195025
BRKS,2021-01-28,64801.0,0.0,150647.0,0.4301512808087781
BRKS,2021-01-29,59491.0,3.0,99086.0,0.6003976343782169
ARWR,2021-01-04,131748.0,4.0,309027.0,0.42633167975613784
ARWR,2021-01-05,138969.0,1930.0,326604.0,0.4254969320645185
ARWR,2021-01-06,264471.0,0.0,491665.0,0.5379089420642104
ARWR,2021-01-07,126131.0,251.0,227903.0,0.55344159576662
ARWR,2021-01-08,127117.0,447.0,287167.0,0.44265880132466473
ARWR,2021-01-11,123964.0,100.0,179396.0,0.6910076032910433
ARWR,2021-01-12,99664.0,1337.0,145202.0,0.6863817302791972
ARWR,2021-01-13,103550.0,1432.0,179897.0,0.5756071529819842
ARWR,2021-01-14,58360.0,310.0,108788.0,0.5364562267897195
ARWR,2021-01-15,112740.0,530.0,151215.0,0.7455609562543398
ARWR,2021-01-19,52743.0,0.0,117008.0,0.45076405032134553
ARWR,2021-01-20,61526.0,863.0,154815.0,0.3974162710331686
ARWR,2021-01-21,76813.0,214.0,143849.0,0.5339835521970956
ARWR,2021-01-22,54474.0,400.0,121629.0,0.44787016254347234
ARWR,2021-01-25,67234.0,514.0,139812.0,0.48088862186364545
ARWR,2021-01-26,74970.0,4.0,125615.0,0.5968236277514628
ARWR,2021-01-27,132295.0,1426.0,269302.0,0.49125145747153753
ARWR,2021-01-28,80334.0,1.0,202997.0,0.39573983851978106
ARWR,2021-01-29,64566.0,0.0,138336.0,0.46673317140874393
IIVI,2021-01-04,163533.0,2892.0,369762.0,0.4422655654177552
IIVI,2021-01-05,186828.0,100.0,462855.0,0.40364260945652525
IIVI,2021-01-06,187774.0,18700.0,321701.0,0.5836910671710688
IIVI,2021-01-07,126331.0,443.0,270981.0,0.46619873718083554
IIVI,2021-01-08,151250.0,1480.0,294332.0,0.5138754875446775
IIVI,2021-01-11,257206.0,0.0,461216.0,0.5576692916117394
IIVI,2021-01-12,613087.0,600.0,925204.0,0.6626506154318399
IIVI,2021-01-13,141459.0,0.0,216651.0,0.6529349045238656
IIVI,2021-01-14,746192.0,13627.0,946649.0,0.7882456961344702
IIVI,2021-01-15,176965.0,621.0,316039.0,0.5599467154370188
IIVI,2021-01-19,244197.0,200.0,550136.0,0.44388478485319993
IIVI,2021-01-20,184267.0,141.0,359584.0,0.5124449363709175
IIVI,2021-01-21,174020.0,0.0,277751.0,0.6265323977231405
IIVI,2021-01-22,219457.0,85656.0,281600.0,0.7793217329545454
IIVI,2021-01-25,192727.0,967.0,334165.0,0.5767420286385468
IIVI,2021-01-26,123886.0,115.0,342719.0,0.36147981290795084
IIVI,2021-01-27,232728.0,5451.0,489454.0,0.4754849281035603
IIVI,2021-01-28,134749.0,6079.0,314000.0,0.4291369426751592
IIVI,2021-01-29,124955.0,122.0,344324.0,0.3628994783982528
LPX,2021-01-04,125401.0,2300.0,243210.0,0.5156079108589285
LPX,2021-01-05,145170.0,100.0,269357.0,0.5389501665076459
LPX,2021-01-06,298236.0,1400.0,579821.0,0.5143587417496089
LPX,2021-01-07,120417.0,0.0,220784.0,0.5454063700268136
LPX,2021-01-08,139235.0,464.0,319021.0,0.4364446227677802
LPX,2021-01-11,38331.0,381.0,113129.0,0.3388255884874789
LPX,2021-01-12,99329.0,98.0,228323.0,0.43503720606334007
LPX,2021-01-13,164960.0,2202.0,473102.0,0.34867745221960594
LPX,2021-01-14,120027.0,3800.0,221620.0,0.5415892067502933
LPX,2021-01-15,71318.0,100.0,234158.0,0.30457212651286736
LPX,2021-01-19,88437.0,400.0,280685.0,0.31507561857598376
LPX,2021-01-20,144177.0,197.0,401036.0,0.35951136556319135
LPX,2021-01-21,311922.0,0.0,446638.0,0.6983776570735136
LPX,2021-01-22,108648.0,60.0,384833.0,0.28232506048078
LPX,2021-01-25,107643.0,0.0,270509.0,0.3979276105416086
LPX,2021-01-26,66691.0,0.0,206772.0,0.3225339988006113
LPX,2021-01-27,55544.0,950.0,296697.0,0.18720782481791187
LPX,2021-01-28,76014.0,0.0,174226.0,0.4362953864520795
LPX,2021-01-29,59665.0,3928.0,198202.0,0.30103127112743566
PFGC,2021-01-04,123476.0,5000.0,244202.0,0.5056305845160973
PFGC,2021-01-05,72517.0,2465.0,158424.0,0.45773998889057216
PFGC,2021-01-06,63730.0,0.0,321461.0,0.19825110977692473
PFGC,2021-01-07,58364.0,200.0,240986.0,0.2421883428912883
PFGC,2021-01-08,75145.0,26.0,420669.0,0.17863213120054008
PFGC,2021-01-11,49916.0,311.0,422622.0,0.11811027348315989
PFGC,2021-01-12,241387.0,11700.0,629297.0,0.3835819970538553
PFGC,2021-01-13,99221.0,2.0,192045.0,0.5166549506626051
PFGC,2021-01-14,60993.0,345.0,172701.0,0.3531710876022721
PFGC,2021-01-15,66441.0,0.0,114025.0,0.5826880070160053
PFGC,2021-01-19,56285.0,100.0,128671.0,0.43743345431371483
PFGC,2021-01-20,36679.0,0.0,121966.0,0.3007313513602151
PFGC,2021-01-21,23366.0,0.0,100592.0,0.23228487354859234
PFGC,2021-01-22,38531.0,1200.0,89979.0,0.42822214072172393
PFGC,2021-01-25,66113.0,0.0,218084.0,0.3031538306340676
PFGC,2021-01-26,37161.0,0.0,158686.0,0.23417944872263463
PFGC,2021-01-27,134098.0,0.0,732740.0,0.18300897999290336
PFGC,2021-01-28,65185.0,0.0,185435.0,0.35152479305416995
PFGC,2021-01-29,84010.0,0.0,280115.0,0.299912535922746
FRPT,2021-01-04,31976.0,0.0,93985.0,0.34022450391019843
FRPT,2021-01-05,19205.0,0.0,56787.0,0.33819360064803566
FRPT,2021-01-06,34752.0,0.0,83113.0,0.41812953448918944
FRPT,2021-01-07,24072.0,0.0,55441.0,0.4341913024656842
FRPT,2021-01-08,33398.0,4.0,63191.0,0.5285246316722318
FRPT,2021-01-11,23749.0,109.0,51439.0,0.4616924901339451
FRPT,2021-01-12,16149.0,0.0,73906.0,0.21850729304792574
FRPT,2021-01-13,25792.0,0.0,94412.0,0.2731856119984748
FRPT,2021-01-14,36183.0,0.0,115145.0,0.31423856876112727
FRPT,2021-01-15,33456.0,0.0,52261.0,0.6401714471594497
FRPT,2021-01-19,35636.0,0.0,78039.0,0.45664347313522724
FRPT,2021-01-20,18212.0,0.0,58812.0,0.3096646942800789
FRPT,2021-01-21,54306.0,0.0,97492.0,0.5570303204365487
FRPT,2021-01-22,31617.0,0.0,60249.0,0.5247721953891351
