Date,S&P500,DJ30,sp500_rtn,DJ30_rtn
2020-09-24,3246.590088,26815.439453,0.002987,0.001955
2020-09-25,3298.459961,27173.960938,0.015977,0.01337
2020-09-28,3351.600098,27584.060547,0.016111,0.015092
2020-09-29,3335.469971,27452.660156,-0.004813,-0.004764
2020-09-30,3363.0,27781.699219,0.008254,0.011986
2020-10-01,3380.800049,27816.900391,0.005293,0.001267
2020-10-02,3348.419922,27682.810547,-0.009578,-0.00482
2020-10-05,3408.600098,28148.640625,0.017973,0.016827
2020-10-06,3360.969971,27772.759766,-0.013974,-0.013353
2020-10-07,3419.439941,28303.460938,0.017397,0.019109
2020-10-08,3446.830078,28425.509766,0.00801,0.004312
2020-10-09,3477.139893,28586.900391,0.008794,0.005678
2020-10-12,3534.219971,28837.519531,0.016416,0.008767
2020-10-13,3511.929932,28679.810547,-0.006307,-0.005469
2020-10-14,3488.669922,28514.0,-0.006623,-0.005781
2020-10-15,3483.340088,28494.199219,-0.001528,-0.000694
2020-10-16,3483.810059,28606.310547,0.000135,0.003935
2020-10-19,3426.919922,28195.419922,-0.01633,-0.014364
2020-10-20,3443.120117,28308.789062,0.004727,0.004021
2020-10-21,3435.560059,28210.820312,-0.002196,-0.003461
2020-10-22,3453.48999,28363.660156,0.005219,0.005418
2020-10-23,3465.389893,28335.570312,0.003446,-0.00099
2020-10-26,3400.969971,27685.380859,-0.01859,-0.022946
2020-10-27,3390.679932,27463.189453,-0.003026,-0.008026
2020-10-28,3271.030029,26519.949219,-0.035288,-0.034346
2020-10-29,3310.110107,26659.109375,0.011947,0.005247
2020-10-30,3269.959961,26501.599609,-0.01213,-0.005908
2020-11-02,3310.23999,26925.050781,0.012318,0.015978
2020-11-03,3369.159912,27480.029297,0.017799,0.020612
2020-11-04,3443.439941,27847.660156,0.022047,0.013378
2020-11-05,3510.449951,28390.179688,0.01946,0.019482
2020-11-06,3509.439941,28323.400391,-0.000288,-0.002352
2020-11-09,3550.5,29157.970703,0.0117,0.029466
2020-11-10,3545.530029,29420.919922,-0.0014,0.009018
2020-11-11,3572.659912,29397.630859,0.007652,-0.000792
2020-11-12,3537.01001,29080.169922,-0.009979,-0.010799
2020-11-13,3585.149902,29479.810547,0.01361,0.013743
2020-11-16,3626.909912,29950.439453,0.011648,0.015964
2020-11-17,3609.530029,29783.349609,-0.004792,-0.005579
2020-11-18,3567.790039,29438.419922,-0.011564,-0.011581
2020-11-19,3581.870117,29483.230469,0.003946,0.001522
2020-11-20,3557.540039,29263.480469,-0.006793,-0.007453
2020-11-23,3577.590088,29591.269531,0.005636,0.011201
2020-11-24,3635.409912,30046.240234,0.016162,0.015375
2020-11-25,3629.649902,29872.470703,-0.001584,-0.005783
2020-11-27,3638.350098,29910.369141,0.002397,0.001269
2020-11-30,3621.629883,29638.640625,-0.004596,-0.009085
2020-12-01,3662.449951,29823.919922,0.011271,0.006251
2020-12-02,3669.01001,29883.789062,0.001791,0.002007
2020-12-03,3666.719971,29969.519531,-0.000624,0.002869
2020-12-04,3699.120117,30218.259766,0.008836,0.0083
2020-12-07,3691.959961,30069.789062,-0.001936,-0.004913
2020-12-08,3702.25,30173.880859,0.002787,0.003462
2020-12-09,3672.820068,30068.810547,-0.007949,-0.003482
2020-12-10,3668.100098,29999.259766,-0.001285,-0.002313
2020-12-11,3663.459961,30046.369141,-0.001265,0.00157
2020-12-14,3647.48999,29861.550781,-0.004359,-0.006151
2020-12-15,3694.620117,30199.310547,0.012921,0.011311
2020-12-16,3701.169922,30154.539062,0.001773,-0.001483
2020-12-17,3722.47998,30303.369141,0.005758,0.004936
2020-12-18,3709.409912,30179.050781,-0.003511,-0.004102
2020-12-21,3694.919922,30216.449219,-0.003906,0.001239
2020-12-22,3687.26001,30015.509766,-0.002073,-0.00665
2020-12-23,3690.01001,30129.830078,0.000746,0.003809
2020-12-24,3703.060059,30199.869141,0.003537,0.002325
2020-12-28,3735.360107,30403.970703,0.008723,0.006758
2020-12-29,3727.040039,30335.669922,-0.002227,-0.002246
2020-12-30,3732.040039,30409.560547,0.001342,0.002436
2020-12-31,3756.070068,30606.480469,0.006439,0.006476
