Date,sp500_rtn,DJ30_rtn,BTC_rtn,ETH_rtn,BNB_rtn,XRP_rtn,USDT_rtn,DOGE_rtn,ADA_rtn,BCH_rtn,LTC_rtn,LINK_rtn,_merge
2019-07-24,0.004688,-0.002897,0.010183,0.011848000000000001,-0.005529999999999999,-0.003599,7.900000000000001e-05,0.002058,-0.00647,0.000323,-0.009154,-0.008790000000000001,both
2019-07-25,-0.005261999999999999,-0.00473,-0.004190999999999999,5.3e-05,-0.000801,0.027699,0.0007480000000000001,0.0,0.071935,0.043214999999999996,0.009189,0.008099,both
2019-07-26,0.007388,0.0018960000000000001,-0.039779,-0.05564500000000001,-0.037736,-0.040188,-0.004954,-0.03355,-0.047914,-0.029735,-0.057430999999999996,-0.060361,both
2019-07-29,-0.001616,0.0010630000000000001,0.009274,-0.0035280000000000003,-0.009593,0.025147,0.002654,-0.008099,-0.007435,0.026012,0.0015539999999999998,-0.023906,both
2019-07-30,-0.002579,-0.000857,0.049774,0.038626,0.026064999999999998,0.007658,0.000572,0.029108999999999996,0.0034700000000000004,0.03369,0.087699,0.051552,both
2019-07-31,-0.010886,-0.012270999999999999,0.031137,-0.003868,0.04083,-0.009358,0.002309,0.020007,-0.021279,0.006702,0.006803,-0.007092,both
2019-08-01,-0.008999,-0.010454000000000001,0.011395,0.00029,-0.025537,-0.017338,-0.004294,-0.016233,-0.0248,-0.005886,-0.042735,0.100189,both
2019-08-02,-0.0072829999999999995,-0.0037020000000000004,0.028860000000000004,0.0212,-0.005301,0.013966,0.002525,0.001031,0.006114,0.018118000000000002,-0.003796,0.010703,both
2019-08-05,-0.029778,-0.02897,-0.027739999999999997,-0.034987,-0.013344,-0.037822,-0.011645,-0.04438,-0.058415999999999996,-0.038015,-0.03888,-0.009542,both
2019-08-06,0.013016999999999999,0.012123,0.040407,0.001639,0.062098,0.002065,0.003757,0.018983,-0.027413,0.018072,-0.023177,-0.027966,both
2019-08-07,0.000767,-0.0008619999999999999,0.002046,-0.024069999999999998,0.050367,-0.013809,-0.004497999999999999,-0.025948000000000002,0.001233,-0.017301,-0.009691,-0.042967,both
2019-08-08,0.018762,0.01427,-0.008647,-0.047311,-0.028261,-0.033537,0.001291,-0.008197,-0.083298,-0.051266,-0.062113999999999996,-0.048023,both
