Date,BTC,ETH,BNB,XRP,USDT,DOGE,ADA,BCH,LTC,LINK
2019-06-19,17846823784.0,6408981097.0,636578809.0,1296288449.0,17138142841.0,36102126.0,159470237.0,1314360146.0,3880682308.0,40500786.0
2019-06-20,20624008643.0,9331694140.0,438604247.0,1546835769.0,20328307388.0,42423841.0,124230175.0,1846131599.0,4378260963.0,56871937.0
2019-06-21,29995204861.0,10613731255.0,428828573.0,3641363867.0,29687375142.0,57373528.0,243264335.0,3606842274.0,5488615002.0,65320899.0
2019-06-22,20998326502.0,8161062380.0,369969675.0,2114801632.0,20905913458.0,44229340.0,245604694.0,2313225132.0,3998980168.0,47203299.0
2019-06-23,19271652365.0,8205712062.0,329001838.0,1641873591.0,18976266767.0,42747865.0,135761451.0,1857691004.0,3907725105.0,30278025.0
2019-06-24,24879684533.0,9641764965.0,293163090.0,1958460938.0,23472410545.0,41001826.0,193143080.0,2225951702.0,4411092400.0,199041263.0
2019-06-25,45105733173.0,16437084081.0,444226052.0,3581004665.0,41336848793.0,64528905.0,340512939.0,3541460266.0,5565887285.0,179571545.0
2019-06-26,39977475223.0,14038092503.0,375392572.0,3038678719.0,38157617576.0,76165577.0,253512191.0,3097101870.0,5588611122.0,136956672.0
2019-06-27,35087757766.0,11514656820.0,337534352.0,1974643651.0,32485233996.0,65310778.0,195954056.0,2663786738.0,4683311766.0,229612906.0
2019-06-28,29923961128.0,10929374565.0,369705514.0,1775096156.0,28377740799.0,46594481.0,169271858.0,2131966116.0,5745785825.0,953804527.0
2019-06-29,27256473494.0,10303111000.0,286632252.0,1570726856.0,27348295158.0,43549174.0,161855807.0,1933402678.0,5525273220.0,434865872.0
2019-06-30,29378589324.0,10292223948.0,290190904.0,1783852226.0,28817659770.0,42771993.0,168654991.0,2170629296.0,5034162436.0,377055673.0
2019-07-01,31015895223.0,10618413952.0,348029977.0,1676193189.0,29747160959.0,41581109.0,180980795.0,2148449372.0,4761878443.0,424338055.0
2019-07-02,30796494294.0,9926711979.0,248895676.0,1436716899.0,27680469385.0,37586127.0,154492407.0,1887674266.0,4529682890.0,204354523.0
2019-07-03,25920294033.0,8403513106.0,348186707.0,1385563454.0,24764753311.0,36433330.0,142713205.0,1721585714.0,4564200301.0,178867441.0
2019-07-04,23838480210.0,8723493015.0,232575484.0,1286860595.0,22749205293.0,187924151.0,116391599.0,1725160159.0,4110868217.0,191209597.0
2019-07-05,21092024306.0,7674615025.0,187247411.0,1521409875.0,20814642709.0,65031784.0,128961683.0,1471000137.0,3484378308.0,100575087.0
2019-07-06,19369044277.0,8119724981.0,198859381.0,1210813690.0,19840392097.0,44379649.0,104984613.0,1334925076.0,3348662401.0,97053705.0
2019-07-07,23482551458.0,9078905628.0,257698795.0,1253488309.0,22820954670.0,41682712.0,114339528.0,1397264412.0,3803750017.0,111053367.0
2019-07-08,28167921523.0,10055159803.0,210904382.0,1413299253.0,26933807933.0,42613827.0,122935384.0,1624612090.0,3785641025.0,177238039.0
2019-07-09,33627574244.0,11679985167.0,270511687.0,2300685763.0,33907842504.0,49078577.0,119999743.0,1946693493.0,4699511838.0,172059406.0
2019-07-10,28595327690.0,10216287022.0,251161946.0,2056220396.0,30184888505.0,43609123.0,118873479.0,2535121897.0,4633853162.0,118728040.0
2019-07-11,23534692797.0,8148936015.0,417842730.0,1641965115.0,23688826133.0,35428239.0,118155306.0,1671307825.0,3611846208.0,162546196.0
2019-07-12,21042616384.0,6716829429.0,273938894.0,1076509239.0,21428894196.0,27243201.0,101320397.0,1496154286.0,3353538171.0,144234535.0
2019-07-13,22486000001.0,8578339386.0,299523499.0,1365358144.0,23891996870.0,36339861.0,101190602.0,1688007280.0,3717531246.0,95436164.0
2019-07-14,25384047207.0,9723674244.0,384045964.0,1638295919.0,27881783429.0,43028086.0,123473435.0,2464005425.0,3570361793.0,95812874.0
2019-07-15,24151199070.0,9036620494.0,439515318.0,1527503243.0,26416562733.0,40980833.0,103254765.0,2120520439.0,3703346636.0,82850036.0
2019-07-16,24569921549.0,9387747640.0,572389805.0,2478342585.0,27923279924.0,41838001.0,97931570.0,2288443142.0,4616360556.0,135564356.0
2019-07-17,25187024648.0,9327816059.0,711895799.0,1460358426.0,26607023339.0,40218356.0,88644360.0,1844896871.0,4890332056.0,142714502.0
2019-07-18,20727426310.0,7606433131.0,483963124.0,1181194676.0,21977173846.0,20956541.0,63433081.0,1455314291.0,3983990085.0,71363583.0
2019-07-19,20206615155.0,7976245988.0,367891866.0,1288327249.0,21153364428.0,23424227.0,71844245.0,1715437159.0,3771308934.0,67423557.0
2019-07-20,17130580467.0,6685082868.0,285097790.0,1045044900.0,18408364222.0,18349874.0,53461726.0,1359692581.0,2829054215.0,48335818.0
2019-07-21,16334414913.0,6338843919.0,416965642.0,1079720970.0,17683364720.0,19174676.0,53620677.0,1297124990.0,2693989249.0,48393920.0
2019-07-22,17851916995.0,6976091534.0,324109274.0,1015322888.0,19014521713.0,21006916.0,59728001.0,1465679636.0,2700924026.0,66520544.0
2019-07-23,17398734322.0,7168982843.0,265315497.0,1222619064.0,19783566756.0,23840681.0,60954092.0,1507512759.0,3247150970.0,78623000.0
2019-07-24,15821952090.0,6731281160.0,248126220.0,1086214216.0,17296727538.0,20653975.0,46420719.0,1270702881.0,2690273677.0,60195321.0
2019-07-25,14495714483.0,5729852178.0,231263489.0,1039753781.0,15599639005.0,19438979.0,57109968.0,1485022992.0,2260844511.0,38644891.0
2019-07-26,16817809536.0,6257703908.0,191655093.0,1163969614.0,18615240948.0,20901185.0,55521874.0,1529445657.0,2626517608.0,57981370.0
2019-07-27,13738687093.0,5504887934.0,163990878.0,846655034.0,14944677257.0,19878103.0,30475480.0,1304270432.0,2460180908.0,37139642.0
2019-07-28,13791445323.0,5485190664.0,146207597.0,807093679.0,15509464207.0,19054200.0,42220707.0,1319630375.0,2457824867.0,41163755.0
2019-07-29,13829811132.0,5489918859.0,148410035.0,928714010.0,15142268405.0,16899416.0,32759717.0,1376384681.0,2302521844.0,63663046.0
2019-07-30,16631520648.0,6003828340.0,202950576.0,996700948.0,17287662489.0,21310977.0,47344104.0,1647491046.0,3051471469.0,59937401.0
2019-07-31,17165337858.0,5965442642.0,287326494.0,882867288.0,17335442457.0,20206543.0,44730277.0,1485593980.0,2953184689.0,46293195.0
2019-08-01,17489094082.0,6159440229.0,197026849.0,816728848.0,17771010851.0,18550954.0,50056239.0,1521358677.0,2882784454.0,88993103.0
2019-08-02,15352685061.0,5697798687.0,153702445.0,789419360.0,15536536966.0,15813943.0,37149597.0,1507071290.0,2512959054.0,158068000.0
2019-08-03,16530894787.0,5238542572.0,136844756.0,926896287.0,16547093138.0,19238655.0,45039557.0,1364528841.0,2427608117.0,95419755.0
2019-08-04,23875988832.0,7765060287.0,183750146.0,1203381139.0,23323661452.0,31037239.0,54461469.0,1791977352.0,4134352823.0,87397910.0
2019-08-05,23635107660.0,7647742672.0,192614971.0,1069603911.0,23116470540.0,19786133.0,48272769.0,1617493636.0,3245339849.0,95016633.0
2019-08-06,22194988641.0,7020342210.0,314659493.0,967534123.0,21336570151.0,26551305.0,46290311.0,1226299625.0,3105989436.0,69024403.0
2019-08-07,19481591730.0,6713525644.0,404379079.0,907305889.0,19546253744.0,16993741.0,47971636.0,1206905812.0,3034717882.0,56631921.0
2019-08-08,18339989960.0,6964818795.0,222912268.0,1021136188.0,19138167443.0,21528298.0,43195565.0,1311332080.0,3003278177.0,49294449.0
2019-08-09,18125355447.0,6584748527.0,248736115.0,1077459339.0,18865220050.0,17920883.0,64446722.0,1236137481.0,3088060147.0,88304426.0
2019-08-10,15774371518.0,6440605605.0,263951565.0,838671654.0,16176202793.0,16229246.0,58526308.0,1216405504.0,3025787942.0,75758084.0
2019-08-11,13647198229.0,5674315559.0,278357603.0,762308356.0,14362593627.0,21554919.0,35518598.0,1150597729.0,2716187719.0,53991936.0
2019-08-12,16681503537.0,5946313205.0,241841209.0,853175560.0,16990669408.0,27308535.0,48509717.0,1551260140.0,2681787838.0,61913129.0
2019-08-13,19990838300.0,7444456154.0,227534067.0,1794754610.0,20899800562.0,34384340.0,65540880.0,1915331290.0,3093090406.0,117748508.0
2019-08-14,22899115082.0,8197244441.0,248072109.0,1342788578.0,24671808089.0,32124644.0,43373583.0,2284229901.0,3654075558.0,78723315.0
2019-08-15,20228207096.0,7133915837.0,203654965.0,1133224404.0,20270456793.0,19795789.0,44228391.0,1466483371.0,3016089036.0,71099710.0
2019-08-16,13778035685.0,5512696513.0,196083314.0,1004931822.0,14226877438.0,18747565.0,34826995.0,969169195.0,2482385549.0,45504193.0
2019-08-17,12999813869.0,5969012024.0,229491438.0,1216547019.0,14364172776.0,20832602.0,38253395.0,1132352694.0,2743241606.0,74479050.0
2019-08-18,16038264603.0,6145148692.0,259250527.0,1241578947.0,16811861913.0,20301072.0,32307052.0,1194487698.0,2346796021.0,81955471.0
2019-08-19,15053082175.0,6408417610.0,209875661.0,1056822925.0,16172223852.0,19682454.0,32132615.0,1115713726.0,2430165429.0,71968212.0
2019-08-20,19473084768.0,7775772700.0,198468093.0,1164536124.0,21391478351.0,21056919.0,43633315.0,1452981238.0,2878567011.0,94589329.0
2019-08-21,17097508856.0,7569043874.0,193368566.0,1065712731.0,19233722241.0,21813055.0,60163313.0,1476522149.0,2908864703.0,71961706.0
2019-08-22,15627023886.0,6658162377.0,195437616.0,999419343.0,17469694439.0,21615807.0,54095276.0,1442794558.0,2496513401.0,85783321.0
